Chromosome	Start	End	NA	Strand
WDR1	chr4	10074339	10116949	NA	-
ZNF518B	chr4	10439880	10457426	NA	-
HS3ST1	chr4	11393150	11429564	NA	-
RAB28	chr4	13361354	13484365	NA	-
NKX3-2	chr4	13540830	13544508	NA	-
BOD1L1	chr4	13568738	13627725	NA	-
CPEB2	chr4	15002481	15070153	NA	+
CC2D2A	chr4	15469865	15601552	NA	+
FBXL5	chr4	15604381	15681679	NA	-
FAM200B	chr4	15681662	15690447	NA	+
FGFBP1	chr4	15935577	15938740	NA	-
FGFBP2	chr4	15960245	15969309	NA	-
PROM1	chr4	15963076	16084378	NA	-
TAPT1	chr4	16160505	16227410	NA	-
QDPR	chr4	17460261	17512206	NA	-
LAP3	chr4	17577198	17607972	NA	+
MED28	chr4	17614641	17634105	NA	+
FAM184B	chr4	17629306	17781621	NA	-
DCAF16	chr4	17800655	17810758	NA	-
NCAPG	chr4	17810979	17844865	NA	+
LCORL	chr4	17841199	18021876	NA	-
SLIT2	chr4	20251905	20620561	NA	+
PACRGL	chr4	20696282	20752907	NA	+
KCNIP4	chr4	20728606	21948772	NA	-
ADGRA3	chr4	22345071	22516066	NA	-
DHX15	chr4	24517441	24584554	NA	-
CCDC149	chr4	24806117	24980204	NA	-
SEPSECS	chr4	25120014	25160550	NA	-
PI4K2B	chr4	25160663	25279204	NA	+
ZCCHC4	chr4	25312774	25370383	NA	+
ANAPC4	chr4	25377263	25418498	NA	+
SEL1L3	chr4	25747433	25863760	NA	-
SMIM20	chr4	25861830	25929874	NA	+
RBPJ	chr4	26163455	26435131	NA	+
TBC1D19	chr4	26576437	26756223	NA	+
STIM2	chr4	26857601	27025381	NA	+
PCDH7	chr4	30720415	31146805	NA	+
ARAP2	chr4	35948221	36244514	NA	-
RELL1	chr4	37590800	37686376	NA	-
PGM2	chr4	37826660	37862937	NA	+
TBC1D1	chr4	37891084	38139175	NA	+
KLF3	chr4	38664197	38701517	NA	+
TLR1	chr4	38790677	38856817	NA	-
TLR6	chr4	38823715	38856817	NA	-
FAM114A1	chr4	38867677	38945739	NA	+
KLHL5	chr4	39045039	39126857	NA	+
WDR19	chr4	39182504	39285810	NA	+
RFC1	chr4	39287456	39366375	NA	-
KLB	chr4	39406930	39451533	NA	+
RPL9	chr4	39452587	39458931	NA	-
LIAS	chr4	39459004	39485109	NA	+
UGDH	chr4	39498755	39528311	NA	-
SMIM14	chr4	39546336	39638902	NA	-
UBE2K	chr4	39698109	39782792	NA	+
PDS5A	chr4	39822863	39977956	NA	-
N4BP2	chr4	40056850	40158252	NA	+
RBM47	chr4	40423267	40630875	NA	-
APBB2	chr4	40810027	41216714	NA	-
LIMCH1	chr4	41359607	41700044	NA	+
TMEM33	chr4	41935129	41960803	NA	+
DCAF4L1	chr4	41981756	41986465	NA	+
SLC30A9	chr4	41990502	42090461	NA	+
ATP8A1	chr4	42408373	42657105	NA	-
YIPF7	chr4	44622088	44678556	NA	-
GUF1	chr4	44678420	44700928	NA	+
GNPDA2	chr4	44682200	44726588	NA	-
COMMD8	chr4	47450787	47463702	NA	-
ATP10D	chr4	47485275	47593486	NA	+
CORIN	chr4	47593999	47838106	NA	-
NFXL1	chr4	47847233	47914667	NA	-
NIPAL1	chr4	47914142	48040173	NA	+
CNGA1	chr4	47935977	48016681	NA	-
TXK	chr4	48066393	48134250	NA	-
TEC	chr4	48135783	48269838	NA	-
SLAIN2	chr4	48341529	48426201	NA	+
SLC10A4	chr4	48483343	48489526	NA	+
FRYL	chr4	48497357	48780322	NA	-
OCIAD1	chr4	48805212	48861817	NA	+
OCIAD2	chr4	48885019	48906937	NA	-
DCUN1D4	chr4	51843000	51916837	NA	+
SGCB	chr4	52020706	52038299	NA	-
USP46	chr4	52590960	52659301	NA	-
ERVMER34-1	chr4	52722618	52751586	NA	-
RASL11B	chr4	52862317	52866835	NA	+
SCFD2	chr4	52872982	53366066	NA	-
FIP1L1	chr4	53377641	53460862	NA	+
LNX1	chr4	53459301	53701405	NA	-
CHIC2	chr4	54009789	54064605	NA	-
SRD5A3	chr4	55346213	55373100	NA	+
TMEM165	chr4	55395957	55453397	NA	+
CLOCK	chr4	55427903	55546909	NA	-
NMU	chr4	55595229	55636698	NA	-
EXOC1	chr4	55853648	55905086	NA	+
CEP135	chr4	55948871	56033361	NA	+
AASDH	chr4	56338287	56387508	NA	-
PPAT	chr4	56393362	56435615	NA	-
PAICS	chr4	56435741	56464578	NA	+
SRP72	chr4	56467617	56503681	NA	+
SPINK2	chr4	56809860	56821742	NA	-
REST	chr4	56907876	56966808	NA	+
NOA1	chr4	56963350	56977606	NA	-
POLR2B	chr4	56977722	57031158	NA	+
IGFBP7	chr4	57030773	57110385	NA	-
CENPC	chr4	67468762	67545503	NA	-
UBA6	chr4	67612652	67701155	NA	-
YTHDC1	chr4	68310387	68350090	NA	-
UTP3	chr4	70688532	70690551	NA	+
RUFY3	chr4	70704204	70808619	NA	+
GRSF1	chr4	70815783	70839897	NA	-
MOB1B	chr4	70902326	71022449	NA	+
DCK	chr4	70992538	71030914	NA	+
COX18	chr4	73052362	73069755	NA	-
ANKRD17	chr4	73073376	73258798	NA	-
RASSF6	chr4	73571550	73620631	NA	-
CXCL8	chr4	73740541	73743716	NA	+
CXCL1	chr4	73869393	73871308	NA	+
CXCL2	chr4	74097040	74099196	NA	-
MTHFD2L	chr4	74114174	74303099	NA	+
EREG	chr4	74365145	74388749	NA	+
AREG	chr4	74445136	74455005	NA	+
BTC	chr4	74744759	74794523	NA	-
PARM1	chr4	74933095	75050115	NA	+
RCHY1	chr4	75479033	75514764	NA	-
THAP6	chr4	75513946	75550473	NA	+
CDKL2	chr4	75576496	75630716	NA	-
G3BP2	chr4	75641849	75724589	NA	-
USO1	chr4	75724577	75814286	NA	+
NAAA	chr4	75913660	75941013	NA	-
SDAD1	chr4	75940950	75990962	NA	-
NUP54	chr4	76114659	76148444	NA	-
SCARB2	chr4	76158737	76234536	NA	-
FAM47E	chr4	76214040	76283783	NA	+
FAM47E-STBD1	chr4	76251721	76311129	NA	+
STBD1	chr4	76306733	76311130	NA	+
SHROOM3	chr4	76435229	76783253	NA	+
SOWAHB	chr4	76894152	76898144	NA	-
CCNI	chr4	77047155	77076309	NA	-
CCNG2	chr4	77157207	77433388	NA	+
CNOT6L	chr4	77713387	77819615	NA	-
MRPL1	chr4	77862830	77952785	NA	+
FRAS1	chr4	78057323	78544269	NA	+
ANXA3	chr4	78551747	78610451	NA	+
BMP2K	chr4	78776342	78916365	NA	+
PAQR3	chr4	78887127	78939438	NA	-
ANTXR2	chr4	79901146	80125454	NA	-
PRDM8	chr4	80183879	80204329	NA	+
PRKG2	chr4	81087370	81215222	NA	-
HNRNPD	chr4	82352498	82374503	NA	-
HNRNPDL	chr4	82422565	82430462	NA	-
ENOPH1	chr4	82430590	82461177	NA	+
SCD5	chr4	82629539	82798796	NA	-
SEC31A	chr4	82818509	82901166	NA	-
THAP9	chr4	82900684	82919969	NA	+
LIN54	chr4	82909973	83012926	NA	-
COPS4	chr4	83034447	83075818	NA	+
COQ2	chr4	83261536	83284914	NA	-
HPSE	chr4	83292461	83335153	NA	-
HELQ	chr4	83407343	83455855	NA	-
MRPS18C	chr4	83455932	83469735	NA	+
ABRAXAS1	chr4	83459517	83523348	NA	-
GPAT3	chr4	83535914	83605875	NA	+
NKX6-1	chr4	84491985	84499292	NA	-
CDS1	chr4	84583127	84651334	NA	+
WDFY3	chr4	84669597	84966690	NA	-
ARHGAP24	chr4	85475150	86002668	NA	+
PTPN13	chr4	86594315	86815171	NA	+
C4orf36	chr4	86876205	86892422	NA	-
AFF1	chr4	86935002	87141039	NA	+
KLHL8	chr4	87160103	87240314	NA	-
HSD17B13	chr4	87303789	87322886	NA	-
HSD17B11	chr4	87336515	87391188	NA	-
NUDT9	chr4	87422573	87459455	NA	+
SPARCL1	chr4	87473335	87531061	NA	-
SPP1	chr4	87975667	87983532	NA	+
PKD2	chr4	88007635	88077777	NA	+
ABCG2	chr4	88090150	88231628	NA	-
PPM1K	chr4	88257620	88284769	NA	-
HERC6	chr4	88378739	88443097	NA	+
HERC5	chr4	88457119	88506163	NA	+
PYURF	chr4	88520998	88523776	NA	-
PIGY	chr4	88520998	88523776	NA	-
HERC3	chr4	88592434	88708541	NA	+
NAP1L5	chr4	88695913	88697829	NA	-
FAM13A	chr4	88725955	89111398	NA	-
TIGD2	chr4	89111533	89114901	NA	+
GPRIN3	chr4	89236383	89307800	NA	-
SNCA	chr4	89700345	89838315	NA	-
CCSER1	chr4	90127535	91601913	NA	+
SMARCAD1	chr4	94207611	94291292	NA	+
PDLIM5	chr4	94451857	94668227	NA	+
RAP1GDS1	chr4	98261384	98443858	NA	+
TSPAN5	chr4	98470367	98658611	NA	-
EIF4E	chr4	98879276	98929133	NA	-
METAP1	chr4	98995659	99062809	NA	+
ADH5	chr4	99070978	99088801	NA	-
TRMT10A	chr4	99546709	99564039	NA	-
LAMTOR3	chr4	99878336	99894428	NA	-
DNAJB14	chr4	99896248	99946618	NA	-
DDIT4L	chr4	100185870	100190782	NA	-
PPP3CA	chr4	101023409	101348278	NA	-
BANK1	chr4	101411286	102074812	NA	+
SLC39A8	chr4	102251080	102431258	NA	-
NFKB1	chr4	102501331	102617302	NA	+
MANBA	chr4	102630770	102760994	NA	-
UBE2D3	chr4	102794383	102868896	NA	-
CISD2	chr4	102868974	102892807	NA	+
SLC9B1	chr4	102885048	103019719	NA	-
SLC9B2	chr4	103019868	103085829	NA	-
BDH2	chr4	103077592	103099870	NA	-
CENPE	chr4	103105349	103198445	NA	-
CXXC4	chr4	104468308	104494901	NA	-
TET2	chr4	105145875	105279816	NA	+
PPA2	chr4	105369077	105474067	NA	-
ARHGEF38	chr4	105552620	105708093	NA	+
INTS12	chr4	105682627	105895986	NA	-
GSTCD	chr4	105708778	105847725	NA	+
NPNT	chr4	105894775	106004027	NA	+
TBCK	chr4	106041599	106316683	NA	-
AIMP1	chr4	106315544	106349456	NA	+
PAPSS1	chr4	107590276	107720234	NA	-
SGMS2	chr4	107824563	107915047	NA	+
CYP2U1	chr4	107931549	107953461	NA	+
HADH	chr4	107989714	108035241	NA	+
RPL34	chr4	108620569	108630412	NA	+
OSTC	chr4	108650585	108667820	NA	+
SEC24B	chr4	109433772	109540896	NA	+
MCUB	chr4	109560209	109688719	NA	+
CASP6	chr4	109688622	109703583	NA	-
PLA2G12A	chr4	109709989	109730070	NA	-
CFI	chr4	109740694	109801999	NA	-
GAR1	chr4	109815510	109824740	NA	+
ELOVL6	chr4	110045846	110199199	NA	-
ENPEP	chr4	110365733	110565285	NA	+
PITX2	chr4	110617423	110642123	NA	-
FAM241A	chr4	112145454	112195256	NA	+
AP1AR	chr4	112231740	112273110	NA	+
TIFA	chr4	112274537	112285904	NA	-
ALPK1	chr4	112285509	112442621	NA	+
ZGRF1	chr4	112539333	112636995	NA	-
LARP7	chr4	112637107	112657592	NA	+
ANK2	chr4	112818032	113384221	NA	+
CAMK2D	chr4	113418054	113761927	NA	-
ARSJ	chr4	113900284	113979727	NA	-
UGT8	chr4	114598770	114678225	NA	+
PRSS12	chr4	118280038	118353003	NA	-
METTL14	chr4	118685392	118715433	NA	+
SEC24D	chr4	118722823	118838683	NA	-
SYNPO2	chr4	118850688	119061247	NA	+
USP53	chr4	119212587	119295517	NA	+
C4orf3	chr4	119296419	119304445	NA	-
PDE5A	chr4	119494397	119628804	NA	-
MAD2L1	chr4	120055623	120066858	NA	-
PRDM5	chr4	120684919	120922870	NA	-
ANXA5	chr4	121667946	121696995	NA	-
EXOSC9	chr4	121801318	121817021	NA	+
CCNA2	chr4	121816444	121823883	NA	-
BBS7	chr4	121824329	121870487	NA	-
TRPC3	chr4	121874481	121952060	NA	-
KIAA1109	chr4	122152331	122362758	NA	+
BBS12	chr4	122732702	122744942	NA	+
FGF2	chr4	122826708	122898236	NA	+
NUDT6	chr4	122888697	122922968	NA	-
SPATA5	chr4	122923070	123319433	NA	+
SPRY1	chr4	123396795	123403760	NA	+
ANKRD50	chr4	124664048	124712732	NA	-
FAT4	chr4	125314918	125492932	NA	+
INTU	chr4	127623271	127726737	NA	+
HSPA4L	chr4	127781821	127840733	NA	+
PLK4	chr4	127880893	127899224	NA	+
MFSD8	chr4	127917799	127966034	NA	-
ABHD18	chr4	127965306	128039953	NA	+
LARP1B	chr4	128061286	128222931	NA	+
PGRMC2	chr4	128269237	128288829	NA	-
JADE1	chr4	128809700	128875224	NA	+
SCLT1	chr4	128864921	129093600	NA	-
C4orf33	chr4	129093317	129116640	NA	+
SLC7A11	chr4	138164097	138242349	NA	-
NOCT	chr4	139015781	139045939	NA	+
ELF2	chr4	139028112	139177218	NA	-
NDUFC1	chr4	139266880	139302551	NA	-
NAA15	chr4	139301505	139420033	NA	+
RAB33B	chr4	139453232	139476609	NA	+
SETD7	chr4	139495941	139606699	NA	-
MGST2	chr4	139665768	139740745	NA	+
MAML3	chr4	139716753	140154184	NA	-
SCOC	chr4	140257286	140385728	NA	+
CLGN	chr4	140388453	140427661	NA	-
ELMOD2	chr4	140524168	140553770	NA	+
TBC1D9	chr4	140620782	140756385	NA	-
ZNF330	chr4	141220887	141234697	NA	+
IL15	chr4	141636583	141733987	NA	+
INPP4B	chr4	142023160	142847432	NA	-
USP38	chr4	143184917	143223874	NA	+
GAB1	chr4	143336762	143474568	NA	+
SMARCA5	chr4	143513702	143557486	NA	+
ANAPC10	chr4	144831908	145098541	NA	-
ABCE1	chr4	145098288	145129524	NA	+
OTUD4	chr4	145110838	145180589	NA	-
SMAD1	chr4	145481194	145559176	NA	+
MMAA	chr4	145599042	145660033	NA	+
ZNF827	chr4	145757627	145938823	NA	-
LSM6	chr4	146175703	146200000	NA	+
SLC10A7	chr4	146253975	146521964	NA	-
EDNRA	chr4	147480917	147544954	NA	+
TMEM184C	chr4	147617386	147672044	NA	+
PRMT9	chr4	147637785	147684163	NA	-
ARHGAP10	chr4	147732063	148072776	NA	+
NR3C2	chr4	148078762	148444698	NA	-
DCLK2	chr4	150078445	150257438	NA	+
LRBA	chr4	150264435	151015727	NA	-
RPS3A	chr4	151099624	151104642	NA	+
SH3D19	chr4	151102751	151325605	NA	-
PRSS48	chr4	151277171	151291453	NA	+
FAM160A1	chr4	151409176	151670503	NA	+
GATB	chr4	151670504	151761007	NA	-
FBXW7	chr4	152320544	152536092	NA	-
TMEM154	chr4	152618628	152680012	NA	-
TIGD4	chr4	152769354	152779730	NA	-
ARFIP1	chr4	152779937	152918463	NA	+
FHDC1	chr4	152936323	152979671	NA	+
TRIM2	chr4	153152163	153339319	NA	+
MND1	chr4	153344649	153415118	NA	+
TMEM131L	chr4	153466346	153636711	NA	+
PLRG1	chr4	154535005	154550400	NA	-
LRAT	chr4	154626945	154753120	NA	+
RBM46	chr4	154781213	154828813	NA	+
CTSO	chr4	155921580	155953912	NA	-
PDGFC	chr4	156760454	156971799	NA	-
TMEM144	chr4	158201604	158255416	NA	+
C4orf46	chr4	158666675	158672255	NA	-
ETFDH	chr4	158671968	158710742	NA	+
PPID	chr4	158709127	158723396	NA	-
FNIP2	chr4	158769026	158908050	NA	+
RAPGEF2	chr4	159103013	159360174	NA	+
NAF1	chr4	163110073	163166890	NA	-
TMA16	chr4	163494442	163520539	NA	+
TMEM192	chr4	165070608	165208549	NA	-
KLHL2	chr4	165207561	165323156	NA	+
MSMO1	chr4	165327667	165343164	NA	+
CPE	chr4	165361194	165498547	NA	+
TLL1	chr4	165873237	166104457	NA	+
SPOCK3	chr4	166733384	167234796	NA	-
ANXA10	chr4	168092537	168187736	NA	+
DDX60	chr4	168216291	168318883	NA	-
DDX60L	chr4	168356735	168537786	NA	-
PALLD	chr4	168497052	168928457	NA	+
CBR4	chr4	168863770	169010275	NA	-
SH3RF1	chr4	169094259	169270956	NA	-
NEK1	chr4	169392809	169612627	NA	-
CLCN3	chr4	169612633	169723673	NA	+
HPF1	chr4	169729470	169757944	NA	-
MFAP3L	chr4	169986597	170033031	NA	-
AADAT	chr4	170060222	170091699	NA	-
GALNT7	chr4	173168811	173323967	NA	+
HMGB2	chr4	173331376	173334432	NA	-
SAP30	chr4	173369969	173377532	NA	+
FBXO8	chr4	174236658	174283667	NA	-
CEP44	chr4	174283730	174333380	NA	+
GPM6A	chr4	175632934	176002664	NA	-
SPCS3	chr4	176319966	176332245	NA	+
NEIL3	chr4	177309874	177362936	NA	+
AGA	chr4	177430774	177442437	NA	-
TENM3	chr4	182143987	182803024	NA	+
DCTD	chr4	182890060	182917936	NA	-
WWC2	chr4	183099257	183320777	NA	+
CLDN22	chr4	183318100	183320276	NA	-
CDKN2AIP	chr4	183444635	183449064	NA	+
ING2	chr4	183505058	183512429	NA	+
RWDD4	chr4	183639635	183659203	NA	-
TRAPPC11	chr4	183659267	183713594	NA	+
STOX2	chr4	183797692	184023526	NA	+
IRF2	chr4	184387729	184474550	NA	-
CASP3	chr4	184627696	184649509	NA	-
PRIMPOL	chr4	184649667	184694963	NA	+
CENPU	chr4	184694085	184734130	NA	-
ACSL1	chr4	184755595	184826818	NA	-
SLC25A4	chr4	185143266	185150382	NA	+
CFAP97	chr4	185159665	185209504	NA	-
SNX25	chr4	185204237	185370185	NA	+
LRP2BP	chr4	185363872	185395924	NA	-
ANKRD37	chr4	185396021	185400628	NA	+
UFSP2	chr4	185399537	185425979	NA	-
C4orf47	chr4	185426249	185449826	NA	+
CCDC110	chr4	185445182	185471752	NA	-
PDLIM3	chr4	185500660	185535507	NA	-
TLR3	chr4	186069155	186088073	NA	+
FAM149A	chr4	186104419	186172667	NA	+
CYP4V2	chr4	186191567	186213463	NA	+
KLKB1	chr4	186208979	186258471	NA	+
MTNR1A	chr4	186533655	186555567	NA	-
FAT1	chr4	186587794	186726722	NA	-
TRIML2	chr4	188091272	188109603	NA	-
FRG1	chr4	189940870	189963202	NA	+
CCDC127	chr5	196868	218153	NA	-
SDHA	chr5	218241	257082	NA	+
PDCD6	chr5	271621	314974	NA	+
AHRR	chr5	321714	438291	NA	+
EXOC3	chr5	443175	471937	NA	+
SLC9A3	chr5	470456	524449	NA	-
CEP72	chr5	612340	667168	NA	+
TPPP	chr5	659862	693352	NA	-
ZDHHC11B	chr5	710355	784729	NA	-
ZDHHC11	chr5	795606	850986	NA	-
BRD9	chr5	850291	892801	NA	-
TRIP13	chr5	892884	919357	NA	+
NKD2	chr5	1008802	1038943	NA	+
SLC12A7	chr5	1050384	1112063	NA	-
TERT	chr5	1253147	1295068	NA	-
CLPTM1L	chr5	1317752	1345099	NA	-
LPCAT1	chr5	1456480	1523962	NA	-
MRPL36	chr5	1798385	1801366	NA	-
NDUFS6	chr5	1801407	1816048	NA	+
IRX4	chr5	1877413	1887236	NA	-
ADAMTS16	chr5	5140330	5320304	NA	+
ICE1	chr5	5420664	5490220	NA	+
MED10	chr5	6371874	6378571	NA	-
NSUN2	chr5	6599239	6633291	NA	-
SRD5A1	chr5	6633427	6674386	NA	+
MTRR	chr5	7851186	7906025	NA	+
FASTKD3	chr5	7859159	7869037	NA	-
CCT5	chr5	10249929	10266389	NA	+
CMBL	chr5	10275875	10307902	NA	-
ANKRD33B	chr5	10564070	10657816	NA	+
DAP	chr5	10679230	10761234	NA	-
TRIO	chr5	14143342	14532128	NA	+
OTULIN	chr5	14664664	14699850	NA	+
ANKH	chr5	14704800	14871778	NA	-
ZNF622	chr5	16451519	16465800	NA	-
RETREG1	chr5	16473038	16617101	NA	-
MYO10	chr5	16661907	16936288	NA	-
DROSHA	chr5	31400494	31532196	NA	-
C5orf22	chr5	31532287	31555053	NA	+
PDZD2	chr5	31639131	32110932	NA	+
GOLPH3	chr5	32124716	32174319	NA	-
MTMR12	chr5	32226994	32312987	NA	-
ZFR	chr5	32354350	32444740	NA	-
SUB1	chr5	32531633	32604079	NA	+
NPR3	chr5	32689070	32791724	NA	+
AMACR	chr5	33986165	34008104	NA	-
C1QTNF3-AMACR	chr5	33987174	34124528	NA	-
C1QTNF3	chr5	34017858	34043213	NA	-
RAI14	chr5	34656328	34832612	NA	+
RAD1	chr5	34905260	34918989	NA	-
BRIX1	chr5	34915677	34925996	NA	+
DNAJC21	chr5	34929559	34958964	NA	+
SPEF2	chr5	35617844	35814611	NA	+
LMBRD2	chr5	36098407	36151887	NA	-
SKP2	chr5	36151989	36196849	NA	+
NADK2	chr5	36192589	36242279	NA	-
SLC1A3	chr5	36596588	36688334	NA	+
NIPBL	chr5	36876769	37066413	NA	+
NUP155	chr5	37288137	37371106	NA	-
WDR70	chr5	37379285	37753435	NA	+
LIFR	chr5	38474668	38608354	NA	-
OSMR	chr5	38845858	38945596	NA	+
RICTOR	chr5	38937920	39074399	NA	-
C9	chr5	39284140	39424868	NA	-
DAB2	chr5	39371675	39462300	NA	-
TTC33	chr5	40512333	40755963	NA	-
PTGER4	chr5	40679915	40693735	NA	+
PRKAA1	chr5	40759379	40798374	NA	-
RPL37	chr5	40825262	40835222	NA	-
OXCT1	chr5	41730065	41870425	NA	-
C5orf51	chr5	41904188	41921636	NA	+
FBXO4	chr5	41925254	41941743	NA	+
CCDC152	chr5	42756818	42802439	NA	+
SELENOP	chr5	42799880	42887392	NA	-
ZNF131	chr5	43065176	43192021	NA	+
HMGCS1	chr5	43287470	43313512	NA	-
TMEM267	chr5	43444252	43483893	NA	-
C5orf34	chr5	43486709	43515148	NA	-
PAIP1	chr5	43526267	43557758	NA	-
MRPS30	chr5	44808947	44820428	NA	+
EMB	chr5	50396192	50443248	NA	-
PARP8	chr5	50665899	50846519	NA	+
ISL1	chr5	51383448	51394730	NA	+
PELO	chr5	52787916	52804044	NA	+
ITGA1	chr5	52787916	52959209	NA	+
ITGA2	chr5	52989340	53094779	NA	+
MOCS2	chr5	53095679	53110063	NA	-
NDUFS4	chr5	53560633	53683338	NA	+
ARL15	chr5	53883942	54310582	NA	-
SNX18	chr5	54517759	54546586	NA	+
GPX8	chr5	55160167	55167297	NA	+
MCIDAS	chr5	55219564	55227315	NA	-
CCNO	chr5	55231152	55233608	NA	-
DHX29	chr5	55256055	55307694	NA	-
MTREX	chr5	55307989	55425579	NA	+
PLPP1	chr5	55424854	55534969	NA	-
SLC38A9	chr5	55625845	55773194	NA	-
IL31RA	chr5	55851357	55922854	NA	+
IL6ST	chr5	55935095	55995022	NA	-
MAP3K1	chr5	56815549	56896152	NA	+
SETD9	chr5	56909260	56925532	NA	+
MIER3	chr5	56919602	56971675	NA	-
GPBP1	chr5	57173948	57264679	NA	+
PLK2	chr5	58453982	58460139	NA	-
DEPDC1B	chr5	60596912	60700190	NA	-
ELOVL7	chr5	60751791	60844274	NA	-
ERCC8	chr5	60866454	60945073	NA	-
NDUFAF2	chr5	60945177	61154531	NA	+
SMIM15	chr5	61157704	61162468	NA	-
ZSWIM6	chr5	61332258	61546172	NA	+
KIF2A	chr5	62306162	62391025	NA	+
DIMT1	chr5	62347284	62403943	NA	-
IPO11	chr5	62403972	62628582	NA	+
LRRC70	chr5	62578819	62581446	NA	+
SREK1IP1	chr5	64718148	64768691	NA	-
CWC27	chr5	64768930	65018750	NA	+
ADAMTS6	chr5	65148738	65481920	NA	-
CENPK	chr5	65517766	65563168	NA	-
PPWD1	chr5	65563236	65587549	NA	+
TRIM23	chr5	65589690	65625975	NA	-
TRAPPC13	chr5	65625004	65666233	NA	+
SGTB	chr5	65665928	65723035	NA	-
NLN	chr5	65722205	65871725	NA	+
ERBIN	chr5	65926556	66082546	NA	+
SREK1	chr5	66139971	66183615	NA	+
PIK3R1	chr5	68215756	68301821	NA	+
SLC30A5	chr5	69093949	69131069	NA	+
CCNB1	chr5	69167135	69178245	NA	+
CENPH	chr5	69189574	69210357	NA	+
MRPS36	chr5	69217760	69230158	NA	+
CDK7	chr5	69234795	69277430	NA	+
CCDC125	chr5	69280175	69332809	NA	-
AK6	chr5	69350984	69370013	NA	-
TAF9	chr5	69364743	69370013	NA	-
RAD17	chr5	69369293	69414801	NA	+
MARVELD2	chr5	69415065	69444330	NA	+
OCLN	chr5	69492292	69558104	NA	+
GTF2H2C	chr5	69560191	69595221	NA	+
SMN2	chr5	70049638	70078522	NA	+
SMN1	chr5	70925030	70953942	NA	+
GTF2H2	chr5	71032670	71067689	NA	-
BDP1	chr5	71455651	71567820	NA	+
MCCC2	chr5	71579531	71658706	NA	+
MAP1B	chr5	72107234	72209565	NA	+
MRPS27	chr5	72219403	72320646	NA	-
PTCD2	chr5	72320367	72368395	NA	+
TNPO1	chr5	72816312	72916733	NA	+
FCHO2	chr5	72956041	73090522	NA	+
TMEM171	chr5	73120569	73131809	NA	+
FOXD1	chr5	73444827	73448777	NA	-
BTF3	chr5	73498408	73505635	NA	+
ANKRA2	chr5	73552190	73565667	NA	-
UTP15	chr5	73565443	73583380	NA	+
ARHGEF28	chr5	73626158	73941993	NA	+
ENC1	chr5	74627406	74641424	NA	-
HEXB	chr5	74640023	74722647	NA	+
GFM2	chr5	74721206	74767147	NA	-
NSA2	chr5	74766991	74780113	NA	+
FAM169A	chr5	74777574	74866966	NA	-
ANKRD31	chr5	75068275	75236911	NA	-
HMGCR	chr5	75336329	75364001	NA	+
POLK	chr5	75511756	75601144	NA	+
ANKDD1B	chr5	75611182	75681773	NA	+
POC5	chr5	75674124	75717448	NA	-
IQGAP2	chr5	76403285	76708132	NA	+
F2R	chr5	76716126	76735770	NA	+
F2RL1	chr5	76818933	76835315	NA	+
AGGF1	chr5	77029251	77065234	NA	+
ZBED3	chr5	77072072	77087285	NA	-
PDE8B	chr5	77210449	77428256	NA	+
WDR41	chr5	77425970	77620611	NA	-
TBCA	chr5	77691166	77868780	NA	-
AP3B1	chr5	78002326	78294698	NA	-
SCAMP1	chr5	78360611	78480739	NA	+
LHFPL2	chr5	78485215	78770021	NA	-
ARSB	chr5	78777209	78986087	NA	-
DMGDH	chr5	78997564	79236038	NA	-
JMY	chr5	79236131	79327211	NA	+
HOMER1	chr5	79372636	79514134	NA	-
CMYA5	chr5	79689836	79800240	NA	+
MTX3	chr5	79976716	79991262	NA	-
SERINC5	chr5	80111651	80256048	NA	-
ZFYVE16	chr5	80408013	80483379	NA	+
FAM151B	chr5	80487969	80542563	NA	+
DHFR	chr5	80626226	80654983	NA	-
MSH3	chr5	80654652	80876815	NA	+
CKMT2	chr5	81233320	81266398	NA	+
ZCCHC9	chr5	81301587	81313297	NA	+
SSBP2	chr5	81413021	81751797	NA	-
ATG10	chr5	81972023	82276857	NA	+
RPS23	chr5	82273320	82278396	NA	-
TMEM167A	chr5	83052846	83077863	NA	-
XRCC4	chr5	83077498	83353787	NA	+
VCAN	chr5	83471618	83582303	NA	+
COX7C	chr5	86617928	86620962	NA	+
RASA1	chr5	87267883	87391931	NA	+
CCNH	chr5	87318416	87412930	NA	-
TMEM161B	chr5	88189633	88269476	NA	-
MEF2C	chr5	88717117	88904257	NA	-
CETN3	chr5	90392257	90409766	NA	-
MBLAC2	chr5	90458209	90474771	NA	-
POLR3G	chr5	90471748	90514557	NA	+
LYSMD3	chr5	90515611	90529584	NA	-
ADGRV1	chr5	90529344	91164437	NA	+
ARRDC3	chr5	91368631	91383317	NA	-
NR2F1	chr5	93583222	93594611	NA	+
FAM172A	chr5	93617725	94111699	NA	-
KIAA0825	chr5	94150851	94618604	NA	-
SLF1	chr5	94618669	94739436	NA	+
MCTP1	chr5	94703741	95284575	NA	-
TTC37	chr5	95461755	95554977	NA	-
ARSK	chr5	95555101	95605102	NA	+
RFESD	chr5	95646754	95684773	NA	+
SPATA9	chr5	95652181	95698711	NA	-
RHOBTB3	chr5	95713522	95824383	NA	+
GLRX	chr5	95751319	95822726	NA	-
ELL2	chr5	95885098	95961851	NA	-
CAST	chr5	96525267	96779595	NA	+
ERAP1	chr5	96760810	96808100	NA	-
